framework,year,mean_survivability,p10_survivability,p90_survivability,warming_stress,el_nino_stress,biosphere_integrity,resource_pressure,social_cohesion,adaptive_capacity
intelligence,2025,54.51,52.2,57.21,14.78,3.98,71.57,30.2,64.58,45.51
intelligence,2026,54.65,51.02,58.09,16.0,2.83,70.81,30.65,65.23,49.0
intelligence,2027,54.71,50.5,59.23,18.18,2.99,68.48,27.7,65.93,52.94
intelligence,2028,54.78,49.5,59.4,18.53,2.47,69.97,23.44,64.96,54.41
intelligence,2029,54.67,48.87,60.03,21.37,1.63,70.99,24.29,67.27,51.07
intelligence,2030,54.48,49.03,59.94,23.29,0.0,63.02,22.57,64.49,53.7
intelligence,2031,54.33,47.81,60.36,25.5,0.0,65.44,19.66,64.2,52.82
intelligence,2032,53.04,46.13,60.23,26.06,17.71,67.22,20.81,66.09,54.26
intelligence,2033,53.13,45.43,60.29,24.4,13.15,65.67,22.41,65.28,61.27
intelligence,2034,53.04,45.05,60.24,22.16,8.13,67.86,26.78,66.75,63.78
intelligence,2035,52.89,43.46,60.84,26.66,6.88,63.45,25.29,69.55,59.45
intelligence,2036,53.13,43.92,60.91,26.98,6.86,62.37,27.56,71.24,66.42
intelligence,2037,53.02,44.31,61.19,29.06,4.25,60.54,25.17,74.05,64.72
intelligence,2038,53.0,42.46,61.06,29.08,6.11,58.22,24.39,68.48,61.47
intelligence,2039,51.86,41.1,60.43,27.6,21.69,61.64,24.44,69.19,61.98
intelligence,2040,52.16,41.19,61.71,31.07,21.37,62.29,21.51,71.83,63.12
intelligence,2041,52.19,41.77,62.34,34.97,18.32,67.98,20.54,76.54,63.47
intelligence,2042,52.42,41.79,62.26,33.64,12.44,67.36,24.92,78.92,65.54
intelligence,2043,52.53,41.34,63.09,26.73,12.96,68.89,23.37,76.98,65.54
intelligence,2044,52.41,40.96,63.29,32.13,8.1,67.45,27.56,75.58,64.44
intelligence,2045,52.43,41.63,63.82,32.64,3.41,67.95,24.04,78.19,64.46
intelligence,2046,51.3,39.88,62.6,39.71,18.99,71.86,20.24,77.75,65.43
intelligence,2047,51.23,39.49,63.56,45.16,11.35,74.64,22.12,82.28,67.57
intelligence,2048,51.39,39.26,64.59,45.53,8.33,70.7,22.82,81.64,73.63
intelligence,2049,51.49,39.68,63.97,43.92,8.29,65.8,21.75,82.36,76.1
intelligence,2050,51.82,39.26,64.36,48.48,7.17,62.25,23.23,83.84,77.58
intelligence,2051,51.92,39.02,64.38,46.6,9.74,62.31,25.45,87.59,79.41
intelligence,2052,51.94,39.87,64.84,47.68,14.99,62.83,24.67,87.84,83.86
intelligence,2053,50.89,37.86,64.69,48.26,29.55,66.17,23.25,82.56,84.76
intelligence,2054,51.1,38.13,65.25,49.17,23.54,68.55,25.18,79.48,86.32
intelligence,2055,51.02,38.11,64.45,48.8,15.81,69.69,25.16,77.16,87.89
intelligence,2056,51.19,37.29,64.96,50.48,11.96,70.67,28.32,74.94,89.03
intelligence,2057,51.02,36.29,64.98,50.71,17.21,64.85,30.52,73.93,88.73
intelligence,2058,51.09,36.2,64.92,56.63,14.85,71.31,29.31,74.88,87.26
intelligence,2059,51.06,36.87,64.73,54.78,13.06,70.22,30.03,68.48,93.27
intelligence,2060,49.76,35.12,63.99,54.49,31.58,66.92,31.03,77.85,90.67
intelligence,2061,50.04,34.38,64.24,50.23,25.46,68.09,33.22,81.61,89.9
