framework,year,mean_survivability,p10_survivability,p90_survivability,warming_stress,el_nino_stress,biosphere_integrity,resource_pressure,social_cohesion,adaptive_capacity
intelligence,2025,54.35,52.04,57.04,14.87,3.78,71.39,30.36,64.35,45.49
intelligence,2026,54.32,50.71,57.78,16.16,2.5,70.45,30.97,64.77,48.96
intelligence,2027,54.21,49.93,58.8,18.43,2.58,67.92,28.19,65.25,52.88
intelligence,2028,54.11,48.74,58.83,18.86,2.0,69.21,24.09,64.07,54.33
intelligence,2029,53.82,48.06,59.16,21.78,1.12,70.04,25.1,66.17,50.98
intelligence,2030,53.45,47.98,59.04,23.79,0.0,61.86,23.55,63.18,53.59
intelligence,2031,53.12,46.63,59.35,26.09,0.0,64.07,20.83,62.69,52.69
intelligence,2032,49.47,42.2,56.84,26.74,46.18,65.46,22.15,64.06,54.11
intelligence,2033,49.66,41.94,57.17,25.16,35.91,63.58,23.93,62.81,61.09
intelligence,2034,49.62,41.66,57.15,23.01,26.35,65.47,28.46,63.87,63.58
intelligence,2035,49.46,40.05,57.52,27.59,21.53,60.73,27.15,66.3,59.24
intelligence,2036,49.66,40.38,57.59,28.0,18.61,59.34,29.6,67.61,66.18
intelligence,2037,49.49,40.99,57.78,30.17,13.63,57.2,27.39,70.08,64.46
intelligence,2038,49.37,38.9,57.84,30.27,13.63,54.58,26.8,64.17,61.2
intelligence,2039,45.94,35.18,54.81,28.88,56.14,57.55,27.02,64.27,61.69
intelligence,2040,46.38,35.26,55.67,32.45,48.92,57.75,24.28,66.35,62.81
intelligence,2041,46.49,35.79,56.5,36.44,40.22,63.02,23.5,70.55,63.14
intelligence,2042,46.74,35.95,57.08,35.2,29.8,62.03,28.07,72.47,65.19
intelligence,2043,46.81,35.44,58.29,28.38,26.77,63.2,26.7,70.12,65.16
intelligence,2044,46.63,34.77,57.92,33.86,18.98,61.42,31.08,68.31,64.05
intelligence,2045,46.55,34.87,57.5,34.46,12.04,61.59,27.74,70.57,64.05
intelligence,2046,43.13,30.51,55.78,41.62,54.44,64.96,24.14,69.49,65.0
intelligence,2047,43.2,30.56,56.36,47.16,39.8,67.25,26.24,73.45,67.12
intelligence,2048,43.43,30.69,57.41,47.62,31.27,62.84,27.14,72.29,73.16
intelligence,2049,43.53,30.71,56.77,46.09,26.8,57.49,26.27,72.52,75.62
intelligence,2050,43.8,30.37,57.46,50.75,22.04,53.49,27.97,73.53,77.07
intelligence,2051,43.83,30.67,57.69,48.96,21.68,53.11,30.39,76.81,78.88
intelligence,2052,43.74,31.58,58.12,50.14,24.43,53.16,29.83,76.57,83.31
intelligence,2053,40.36,26.57,55.26,50.81,65.31,55.89,28.62,70.54,84.2
intelligence,2054,40.68,26.53,54.75,51.81,51.93,57.7,30.77,66.78,85.73
intelligence,2055,40.63,26.66,54.96,51.53,38.34,58.31,30.96,63.86,87.28
intelligence,2056,40.78,26.61,54.96,53.3,29.9,58.78,34.34,61.08,88.41
intelligence,2057,40.54,24.7,55.25,53.62,31.52,52.43,36.76,59.48,88.09
intelligence,2058,40.5,24.31,56.44,59.64,26.02,58.35,35.77,59.87,86.6
intelligence,2059,40.32,24.61,55.69,57.88,21.72,56.74,36.72,52.93,92.59
intelligence,2060,36.66,20.65,52.36,57.69,66.76,52.76,37.94,61.47,89.96
intelligence,2061,37.03,19.61,53.01,53.52,53.31,53.31,40.35,64.49,89.18
intelligence,2062,37.11,19.11,53.1,49.03,42.61,56.23,42.07,57.85,89.05
intelligence,2063,37.1,19.14,53.48,53.53,41.52,57.07,43.33,53.34,86.51
intelligence,2064,36.98,18.95,54.2,53.99,35.75,57.99,42.23,49.15,84.15
intelligence,2065,36.97,18.59,53.69,50.83,31.45,50.27,41.55,49.8,88.7
intelligence,2066,36.61,18.1,53.82,51.36,28.99,48.31,39.65,47.11,93.27
intelligence,2067,33.17,12.65,51.65,54.66,68.95,57.34,39.88,48.01,94.17
