framework,year,mean_survivability,p10_survivability,p90_survivability,warming_stress,el_nino_stress,biosphere_integrity,resource_pressure,social_cohesion,adaptive_capacity
intelligence,2025,54.31,52.0,57.0,14.95,3.78,71.34,30.41,64.35,45.49
intelligence,2026,54.23,50.63,57.68,16.33,2.5,70.33,31.07,64.77,48.96
intelligence,2027,54.08,49.77,58.67,18.68,2.58,67.74,28.34,65.24,52.88
intelligence,2028,53.92,48.55,58.66,19.19,2.0,68.97,24.29,64.07,54.33
intelligence,2029,53.59,47.82,58.92,22.2,1.12,69.73,25.36,66.16,50.98
intelligence,2030,53.17,47.7,58.78,24.29,0.0,61.48,23.87,63.17,53.59
intelligence,2031,52.79,46.31,59.06,26.67,0.0,63.62,21.19,62.67,52.69
intelligence,2032,52.31,44.92,59.72,27.4,2.66,65.13,22.58,64.35,54.11
intelligence,2033,51.99,44.3,59.62,25.91,0.23,63.33,24.41,63.34,61.09
intelligence,2034,51.52,43.65,59.2,23.84,0.0,65.25,29.0,64.58,63.58
intelligence,2035,51.0,41.69,59.15,28.51,0.0,60.53,27.74,67.15,59.24
intelligence,2036,50.87,41.62,58.93,29.0,0.96,59.12,30.25,68.58,66.18
intelligence,2037,50.41,41.5,58.66,31.25,0.0,56.95,28.1,71.13,64.46
intelligence,2038,50.08,39.51,58.54,31.43,2.45,54.29,27.56,65.29,61.2
intelligence,2039,49.71,38.66,58.71,30.13,3.45,57.39,27.84,65.76,61.69
intelligence,2040,49.54,38.36,59.22,33.78,5.71,57.68,25.16,68.13,62.81
intelligence,2041,49.14,38.78,59.43,37.85,4.79,62.99,24.44,72.57,63.14
intelligence,2042,48.95,37.83,59.25,36.69,0.75,62.02,29.07,74.68,65.19
intelligence,2043,48.65,36.99,59.88,29.95,2.94,63.2,27.76,72.48,65.16
intelligence,2044,48.16,36.18,59.53,35.52,0.0,61.4,32.2,70.8,64.05
intelligence,2045,47.8,36.12,58.87,36.2,0.0,61.51,28.93,73.12,64.05
intelligence,2046,47.42,34.78,59.91,43.44,1.04,64.99,25.39,72.41,65.0
intelligence,2047,46.85,34.19,59.9,49.07,0.0,67.32,27.55,76.63,67.12
intelligence,2048,46.55,33.26,60.46,49.61,0.0,62.91,28.52,75.67,73.16
intelligence,2049,46.2,33.37,59.51,48.16,1.16,57.55,27.72,76.07,75.62
intelligence,2050,46.1,33.1,60.14,52.9,1.02,53.5,29.48,77.21,77.07
intelligence,2051,45.79,32.54,59.66,51.2,4.44,53.05,31.97,80.58,78.88
intelligence,2052,45.43,32.82,59.68,52.45,10.3,53.01,31.48,80.43,83.31
intelligence,2053,45.07,31.7,60.4,53.21,10.2,55.82,30.34,74.77,84.2
intelligence,2054,44.77,30.97,59.15,54.29,6.74,57.67,32.56,71.3,85.73
intelligence,2055,44.19,30.35,58.43,54.1,1.28,58.29,32.82,68.62,87.28
intelligence,2056,43.9,29.54,58.17,55.96,0.0,58.73,36.26,66.02,88.41
intelligence,2057,43.28,27.57,58.05,56.36,7.0,52.32,38.75,64.58,88.09
intelligence,2058,42.91,27.21,59.14,62.46,5.91,58.16,37.84,65.09,86.6
intelligence,2059,42.45,27.01,58.28,60.78,5.24,56.44,38.86,58.23,92.59
intelligence,2060,41.82,25.76,57.8,60.67,9.72,52.53,40.15,67.15,89.96
intelligence,2061,41.54,24.78,57.93,56.59,6.53,53.1,42.63,70.48,89.18
intelligence,2062,41.07,23.96,57.25,52.18,4.25,56.02,44.42,64.08,89.05
intelligence,2063,40.62,22.43,57.48,56.77,10.07,56.82,45.75,59.76,86.51
intelligence,2064,40.09,22.19,57.92,57.3,9.96,57.66,44.72,55.72,84.15
intelligence,2065,39.75,21.58,56.61,54.22,10.3,49.85,44.12,56.49,88.7
intelligence,2066,39.09,20.04,56.14,54.84,11.65,47.78,42.29,53.89,93.27
intelligence,2067,38.61,18.49,57.24,58.22,11.22,56.87,42.6,55.16,94.17
intelligence,2068,38.26,17.15,56.87,57.95,16.35,60.47,38.8,53.36,95.44
intelligence,2069,37.84,18.46,57.72,60.69,9.56,52.81,33.5,52.61,95.11
intelligence,2070,37.22,19.54,55.8,62.12,5.73,48.29,27.84,53.12,96.21
intelligence,2071,36.51,17.77,55.66,65.5,7.27,46.85,32.32,52.18,94.21
intelligence,2072,35.97,17.02,55.37,64.34,4.41,39.49,33.2,52.42,93.1
intelligence,2073,35.34,15.13,54.77,62.61,4.93,43.26,33.74,50.39,91.31
intelligence,2074,34.66,13.44,56.07,62.81,0.45,41.53,34.34,55.44,94.12
intelligence,2075,34.05,12.18,55.39,66.31,0.0,42.12,31.34,55.9,95.36
intelligence,2076,33.35,10.82,54.85,64.42,6.2,42.42,26.06,57.08,94.12
intelligence,2077,32.8,11.41,54.08,64.83,6.68,42.23,20.36,53.15,96.42
intelligence,2078,32.32,9.37,52.99,69.14,11.39,46.22,14.63,54.99,90.66
intelligence,2079,31.74,8.78,53.13,74.38,10.3,41.91,21.1,56.4,84.96
intelligence,2080,31.15,8.41,51.66,75.67,6.45,40.75,20.15,60.03,80.68
intelligence,2081,30.59,8.7,52.45,77.03,10.93,36.73,21.24,60.09,78.59
intelligence,2082,30.17,7.83,52.11,79.38,9.46,32.32,26.98,61.89,78.07
intelligence,2083,29.56,7.82,52.67,77.89,5.6,34.44,26.99,62.73,77.5
intelligence,2084,28.95,7.09,53.21,80.15,4.44,35.13,26.9,64.68,79.5
intelligence,2085,28.42,6.51,53.61,80.21,1.26,30.73,25.13,61.22,82.08
intelligence,2086,27.9,4.25,54.44,80.49,5.95,35.96,25.67,56.02,80.92
intelligence,2087,27.46,3.65,53.16,80.67,0.61,33.64,26.99,54.13,78.6
intelligence,2088,26.89,1.59,52.82,78.81,6.06,31.57,24.95,52.47,81.44
intelligence,2089,26.41,2.44,51.27,77.17,6.62,32.2,27.65,56.12,79.77
intelligence,2090,25.77,0.9,49.41,80.98,3.25,29.39,31.7,58.02,79.76
intelligence,2091,25.06,1.5,48.95,77.82,4.55,25.89,29.38,55.53,80.48
intelligence,2092,24.76,0.44,48.42,71.88,5.01,24.91,28.06,58.12,82.3
intelligence,2093,24.4,0.0,47.89,70.48,2.3,25.56,23.95,56.66,80.39
intelligence,2094,23.67,0.0,46.19,71.11,2.72,24.25,27.79,56.85,79.43
intelligence,2095,23.35,0.13,45.06,67.9,4.59,24.42,32.57,54.08,79.49
intelligence,2096,22.73,0.0,45.04,68.14,3.7,23.0,27.86,56.07,81.43
intelligence,2097,22.02,0.0,44.22,71.95,9.99,20.52,28.19,55.54,87.24
intelligence,2098,21.56,0.0,43.81,67.18,9.85,14.65,20.87,49.0,83.08
intelligence,2099,21.15,0.0,43.16,70.82,5.67,12.57,17.82,50.37,79.75
intelligence,2100,20.61,0.0,42.81,75.2,1.87,8.86,18.63,50.0,84.01
intelligence,2101,20.18,0.0,42.15,75.99,0.0,5.76,17.36,51.74,85.14
intelligence,2102,19.93,0.0,41.54,76.07,2.81,2.75,17.4,51.83,89.7
intelligence,2103,19.41,0.0,41.57,76.21,1.45,0.0,19.91,49.6,90.71
intelligence,2104,19.16,0.0,41.06,70.95,4.52,0.0,18.01,52.33,86.69
intelligence,2105,18.75,0.0,40.5,71.15,4.13,0.0,22.48,56.36,80.75
intelligence,2106,18.1,0.0,40.67,67.24,6.01,0.0,21.74,56.28,82.81
intelligence,2107,17.63,0.0,41.61,67.01,5.41,0.0,26.04,54.31,83.81
intelligence,2108,17.08,0.0,41.45,65.92,4.96,0.0,25.98,50.79,86.17
intelligence,2109,16.65,0.0,40.25,70.6,5.0,0.75,28.93,53.06,87.06
intelligence,2110,16.27,0.0,40.59,71.67,6.89,0.0,26.45,52.61,81.37
intelligence,2111,15.94,0.0,40.89,72.1,7.09,2.22,27.34,54.86,81.35
intelligence,2112,15.56,0.0,39.83,69.46,1.78,0.0,23.67,56.31,80.7
intelligence,2113,15.18,0.0,38.05,71.61,1.88,1.72,27.29,53.88,79.86
intelligence,2114,14.63,0.0,36.81,70.45,0.0,2.33,31.29,53.37,78.35
intelligence,2115,14.22,0.0,35.94,74.16,0.0,1.35,32.17,51.14,82.5
intelligence,2116,13.76,0.0,36.24,77.52,0.0,0.0,31.45,49.08,78.55
intelligence,2117,13.27,0.0,35.29,82.1,3.28,0.72,28.63,54.77,84.46
intelligence,2118,12.92,0.0,34.58,83.1,0.18,0.0,30.35,51.48,84.33
intelligence,2119,12.51,0.0,34.77,86.8,0.0,4.31,35.53,47.18,80.06
intelligence,2120,12.02,0.0,33.79,86.39,0.0,1.76,28.26,45.94,85.44
